htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
nyp.33433074931258	The Barrys ... by Shan F. Bullock. 	"Bullock, Shan F., 1865-1935."	1899-00-00	1	2438351	99004725		https://catalog.hathitrust.org/Record/008663725	https://hdl.handle.net/2027/nyp.33433074931258
njp.32101065762906	"The Blakes and Flanagans : a tale, illustrative of Irish life in the United States / by Mrs. J. Sadlier. "	"Sadlier, J., Mrs., 1820-1903."	1855-00-00	1	47778396			https://catalog.hathitrust.org/Record/009246409	https://hdl.handle.net/2027/njp.32101065762906
pst.000006711061	The children of the abbey : a tale. v.1	"Roche, Regina Maria, 1764?-1845."	1810-00-00	1	1398658			https://catalog.hathitrust.org/Record/007517065	https://hdl.handle.net/2027/pst.000006711061
pst.000006711085	The children of the abbey : a tale. v.2	"Roche, Regina Maria, 1764?-1845."	1810-00-00	1	1398658			https://catalog.hathitrust.org/Record/007517065	https://hdl.handle.net/2027/pst.000006711085
pst.000006711092	The children of the abbey : a tale. v.3	"Roche, Regina Maria, 1764?-1845."	1810-00-00	1	1398658			https://catalog.hathitrust.org/Record/007517065	https://hdl.handle.net/2027/pst.000006711092
pst.000006711108	The children of the abbey : a tale. v.4	"Roche, Regina Maria, 1764?-1845."	1810-00-00	1	1398658			https://catalog.hathitrust.org/Record/007517065	https://hdl.handle.net/2027/pst.000006711108
uiuo.ark:/13960/t7jq1qg5p	The Cock and Anchor : being a chronicle of old Dublin City. 1 v.1	"Le Fanu, Joseph Sheridan, 1814-1873."	1845-00-00	1	15094184	42047285		https://catalog.hathitrust.org/Record/011696819	https://hdl.handle.net/2027/uiuo.ark:/13960/t7jq1qg5p
uiuo.ark:/13960/t7kp8rc4w	The Cock and Anchor : being a chronicle of old Dublin City. 1 v.2	"Le Fanu, Joseph Sheridan, 1814-1873."	1845-00-00	1	15094184	42047285		https://catalog.hathitrust.org/Record/011696819	https://hdl.handle.net/2027/uiuo.ark:/13960/t7kp8rc4w
uiuo.ark:/13960/t0ft99n55	The Cock and Anchor : being a chronicle of old Dublin City. 1 v.3	"Le Fanu, Joseph Sheridan, 1814-1873."	1845-00-00	1	15094184	42047285		https://catalog.hathitrust.org/Record/011696819	https://hdl.handle.net/2027/uiuo.ark:/13960/t0ft99n55
osu.32435054631551	"The dear Irish girl, by Katharine Tynan. "	"Tynan, Katharine, 1861-1931."	1899-00-00	1	11191665			https://catalog.hathitrust.org/Record/100104432	https://hdl.handle.net/2027/osu.32435054631551
