htid	access	rights	ht_bib_key	description	source	source_bib_num	oclc_num	isbn	issn	lccn	title	imprint	rights_reason_code	rights_timestamp	us_gov_doc_flag	date	pub_place	lang	bib_fmt	collection_code	content_provider_code	responsible_entity_code	digitization_agent_code	access_profile_code	author	catalog_url	handle_url
chi.17176722	1	pd	52812	v.59 Jul-Dec 1915	CHI	1687937	1566573		21594643	4012669	The Dial  v.59 Jul-Dec 	"Jansen, McClurg, 1880-1929."	bib	2013-01-16 19:30:03	0	1915	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.17176722
chi.22253216	1	pd	52812	v.60 Jan-Jun 1916	CHI	1687937	1566573		21594643	4012669	The Dial  v.60 Jan-Jun 	"Jansen, McClurg, 1880-1929."	bib	2015-04-16 03:26:13	0	1916	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.22253216
mdp.39015031076501	1	pd	52812	v.61 1916 Jun-Dec	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.61 1916 Jun	"Jansen, McClurg, 1880-1929."	bib	2013-05-03 19:25:08	0	1916	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015031076501
pst.000020201456	1	pd	52812	v.62 Jan.-June 1917	PST	a1293421	1566573		21594643	4012669	The Dial  v.62 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2013-04-10 19:25:10	0	1917	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020201456
chi.78013691	1	pd	52812	v.63 Jul-Dec 1917	CHI	1687937	1566573		21594643	4012669	The Dial  v.63 Jul-Dec 	"Jansen, McClurg, 1880-1929."	bib	2013-01-17 19:30:05	0	1917	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.78013691
pst.000020203177	1	pd	52812	v.64 Jan.-June 1918	PST	a1293421	1566573		21594643	4012669	The Dial  v.64 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2014-10-26 03:26:42	0	1918	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020203177
chi.78013704	1	pd	52812	v.65 Jul-Dec 1918	CHI	1687937	1566573		21594643	4012669	The Dial  v.65 Jul-Dec 	"Jansen, McClurg, 1880-1929."	bib	2013-01-16 19:30:03	0	1918	nyu	eng	SE	CHI	uchicago	uchicago	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/chi.78013704
coo.31924065626057	1	pd	52812	v.66 1918-1919	COO	380762	1566573		21594643	4012669	The Dial  v.66 1918-191	"Jansen, McClurg, 1880-1929."	bib	2014-06-21 03:43:52	0	1919	nyu	eng	SE	COO	cornell	cornell	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/coo.31924065626057
mdp.39015031076527	1	pd	52812	v.67 1919 Jul-Nov	MIU	990000528120106381	1566573		21594643	4012669	The Dial  v.67 1919 Jul	"Jansen, McClurg, 1880-1929."	bib	2012-10-03 04:40:47	0	1919	nyu	eng	SE	MIU	umich	umich	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/mdp.39015031076527
pst.000020203214	1	pd	52812	v.68 Jan.-June 1920	PST	a1293421	1566573		21594643	4012669	The Dial  v.68 Jan.-Jun	"Jansen, McClurg, 1880-1929."	bib	2014-11-07 03:28:12	0	1920	nyu	eng	SE	PST	psu	psu	google	google		https://catalog.hathitrust.org/Record/52812	https://hdl.handle.net/2027/pst.000020203214
