htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
hvd.hn5hqg	Stories of adventure : as told by adventurers / by Edward E. Hale. 	Hale, Edward Everett, Sr., 1822-1909.	1905-00-00	1	230835927			https://catalog.hathitrust.org/Record/100481143	https://hdl.handle.net/2027/hvd.hn5hqg
loc.ark:/13960/t9959wt2p	Story of Columbus. 	[Chadwick], Mara L[ouise] Pratt, Mrs. [from old catalog]	1891-00-00	1		02007680		https://catalog.hathitrust.org/Record/009589554	https://hdl.handle.net/2027/loc.ark:/13960/t9959wt2p
njp.32101020924013	The story of the Moor of Venice. Translated from the Italian. With two essays on Shakespeare, and preliminary observations, by Wolstenholme Parr 	Parr, Wolstenholme, 1761 or 2-1845.	1795-00-00	1	4298298			https://catalog.hathitrust.org/Record/008886402	https://hdl.handle.net/2027/njp.32101020924013
mdp.39076002622038	Striving for his own / by Oliver Optic ; illustrated by Lyle T. Hammond. 	Optic, Oliver, 1822-1897.	1885-00-00	1	145061400			https://catalog.hathitrust.org/Record/009929902	https://hdl.handle.net/2027/mdp.39076002622038
nyp.33433082289632	Student and schoolmate. v. 21-22 (1868)	Calkins, Norman Allison, 1822-1895.	1868-00-00	1	10816906			https://catalog.hathitrust.org/Record/008699992	https://hdl.handle.net/2027/nyp.33433082289632
uc1.b5298882	A study of the elements of mystery and terror in the tales of E.T.W. Hoffmann and E.A. Poe. 	Locher, Edward William.	1908-00-00	1	28230519			https://catalog.hathitrust.org/Record/011714153	https://hdl.handle.net/2027/uc1.b5298882
mdp.39015085433459	The submarine boys and the middies : or, The prize detail at Annapolis / by Victor G. Durham ... 	Durham, Victor G.	1909-00-00	1	4683432			https://catalog.hathitrust.org/Record/005145189	https://hdl.handle.net/2027/mdp.39015085433459
mdp.39015085433483	The submarine boys and the smugglers : or Breaking up the New Jersey customs frauds, / by Victor G. Durham. 	Durham, Victor G.	1912-00-00	1	4683453	12016611		https://catalog.hathitrust.org/Record/005145190	https://hdl.handle.net/2027/mdp.39015085433483
mdp.39015085433467	The submarine boys and the spies : or, Dodging the sharks of the deep / by Victor G. Durham ... 	Durham, Victor G.	1910-00-00	1	4683482			https://catalog.hathitrust.org/Record/005145201	https://hdl.handle.net/2027/mdp.39015085433467
mdp.39015085433376	The submarine boys for the flag : or, Deeding their lives to Uncle Sam / by Victor G. Durham ... 	Durham, Victor G.	1910-00-00	1	4683517			https://catalog.hathitrust.org/Record/005145202	https://hdl.handle.net/2027/mdp.39015085433376
mdp.39015085433442	The submarine boys on duty : or, Life on a diving torpedo boat, / by Lieut. Commander Victor G. Durham. 	Durham, Victor G.	1909-00-00	1	4692583	09028397		https://catalog.hathitrust.org/Record/005145205	https://hdl.handle.net/2027/mdp.39015085433442
mdp.39015085433475	The submarine boys' lightning cruise : or, The young kings of the deep / by Victor G. Durham. 	Durham, Victor G.	1910-00-00	1	25832444	91120957		https://catalog.hathitrust.org/Record/005145203	https://hdl.handle.net/2027/mdp.39015085433475
hvd.hn3nq3	"The submarine boys' trial trip; or, ""Making good"" as young experts, by Lieut. Commander Victor G. Durham. "	Durham, Victor G.	1909-00-00	1	4692689	41042143		https://catalog.hathitrust.org/Record/100486451	https://hdl.handle.net/2027/hvd.hn3nq3
umn.31951000888618y	Success against odds : or, How a boy made his way / by William O. Stoddard ; Illustrated by B. West Clinedinst. 	Stoddard, William Osborn, 1835-1925.	1898-00-00	1	7177991	c98000192		https://catalog.hathitrust.org/Record/100659288	https://hdl.handle.net/2027/umn.31951000888618y
hvd.hh28yt	Tales of wonder; / written and collected by M.G. Lewis ... ; In two volumes v.1	Lewis, M. G. 1775-1818.	1801-00-00	1	742172	07027479		https://catalog.hathitrust.org/Record/002104508	https://hdl.handle.net/2027/hvd.hh28yt
emu.010001066245	Ten little niggers. 	McLoughlin Bros.,	1894-00-00	1	75513671			https://catalog.hathitrust.org/Record/101647875	https://hdl.handle.net/2027/emu.010001066245
aeu.ark:/13960/t8tb29w6x	[A] terrible inheritance by Grant Allen 	Allen, Grant, 1848-1899.	1800-00-00	1	861562837		9780665643620,0665643624	https://catalog.hathitrust.org/Record/100289893	https://hdl.handle.net/2027/aeu.ark:/13960/t8tb29w6x
hvd.32044011743846	The thirty-nine steps / by John Buchan. 	Buchan, John, 1875-1940.	1915-00-00	1	4560014			https://catalog.hathitrust.org/Record/100322089	https://hdl.handle.net/2027/hvd.32044011743846
